STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,wstatus,Labour force and employment status,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,AT,Austria,2023,,7.9,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,BA,Bosnia and Herzegovina,2023,,3.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,BE,Belgium,2023,,4.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,BG,Bulgaria,2023,,9.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,CH,Switzerland,2023,,5.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,CY,Cyprus,2023,,9.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,CZ,Czechia,2023,,6.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,DE,Germany,2023,,10.5,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,DK,Denmark,2023,,9.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,EE,Estonia,2023,,8.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,EL,Greece,2023,,3.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,ES,Spain,2023,,11.3,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,EU27_2020,European Union - 27 countries (from 2020),2023,,7.7,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,FI,Finland,2023,,7.3,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,FR,France,2023,,5.6,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,HR,Croatia,2023,,1.2,,u,low reliability,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,HU,Hungary,2023,,10.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,IE,Ireland,2023,,2.9,,u,low reliability,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,IS,Iceland,2023,,9.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,IT,Italy,2023,,7.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,LT,Lithuania,2023,,6.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,LU,Luxembourg,2023,,,,u,low reliability,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,LV,Latvia,2023,,5.5,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,MK,North Macedonia,2023,,8.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,MT,Malta,2023,,7.6,,u,low reliability,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,NL,Netherlands,2023,,5.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,NO,Norway,2023,,10.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,PL,Poland,2023,,2.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,PT,Portugal,2023,,6.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,RO,Romania,2023,,16.7,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,RS,Serbia,2023,,5.9,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,SE,Sweden,2023,,6.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,SI,Slovenia,2023,,4.9,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,SK,Slovakia,2023,,6.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,F,Females,TR,Türkiye,2023,,19.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,AT,Austria,2023,,9.3,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,BA,Bosnia and Herzegovina,2023,,5.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,BE,Belgium,2023,,7.9,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,BG,Bulgaria,2023,,9.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,CH,Switzerland,2023,,6.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,CY,Cyprus,2023,,11.3,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,CZ,Czechia,2023,,6.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,DE,Germany,2023,,15.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,DK,Denmark,2023,,11.8,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,EE,Estonia,2023,,11.4,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,EL,Greece,2023,,3.8,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,ES,Spain,2023,,16.0,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,EU27_2020,European Union - 27 countries (from 2020),2023,,11.3,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,FI,Finland,2023,,11.9,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,FR,France,2023,,9.5,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,HR,Croatia,2023,,2.7,,u,low reliability,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,HU,Hungary,2023,,12.7,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,IE,Ireland,2023,,5.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,IS,Iceland,2023,,22.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,IT,Italy,2023,,13.1,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,LT,Lithuania,2023,,6.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,LU,Luxembourg,2023,,8.5,,u,low reliability,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,LV,Latvia,2023,,10.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,MK,North Macedonia,2023,,8.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,MT,Malta,2023,,12.5,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,NL,Netherlands,2023,,7.2,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,NO,Norway,2023,,14.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,PL,Poland,2023,,4.9,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,PT,Portugal,2023,,10.0,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,RO,Romania,2023,,16.5,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,RS,Serbia,2023,,5.8,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,SE,Sweden,2023,,8.6,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,SI,Slovenia,2023,,5.8,,bu,"break in time series, low reliability",,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,SK,Slovakia,2023,,6.8,,,,,
dataflow,ESTAT:SDG_04_10(1.0),Early leavers from education and training by sex,A,Annual,PC,Percentage,POP,Population,Y18-24,From 18 to 24 years,M,Males,TR,Türkiye,2023,,20.1,,,,,
